fecha,deporte,evento,liga,apuesta,probabilidad,regla,resultado,acierto,fecha_validacion
2026-03-20 14:54,NBA,Brooklyn Nets vs New York Knicks,NBA,Gana New York Knicks,69.8,3,Pendiente,,
2026-03-20 14:54,NBA,Brooklyn Nets vs New York Knicks,NBA,Gana New York Knicks,69.8,3,Pendiente,,
2026-03-20 14:54,NBA,Brooklyn Nets vs New York Knicks,NBA,Gana New York Knicks,69.8,3,Pendiente,,
2026-03-20 14:54,NBA,Brooklyn Nets vs New York Knicks,NBA,Gana New York Knicks,69.8,3,Pendiente,,
2026-03-20 14:54,UFC,Shanelle Dyer vs Ravena Oliveira,UFC,Gana Shanelle Dyer,85.0,1,Pendiente,,
2026-03-20 14:54,UFC,Abdul-Kareem Al-Selwady vs Shem Rock,UFC,Gana Abdul-Kareem Al-Selwady,80.9,1,Pendiente,,
2026-03-20 14:54,UFC,Louie Sutherland vs Brando Peričić,UFC,Gana Louie Sutherland,76.4,1,Pendiente,,
2026-03-20 14:55,Fútbol,Real Madrid vs Barcelona,La Liga,Over 2.5 - Real Madrid vs Barcelona,55.0,4,Pendiente,,
