Fecha,Deporte,Evento,Apuesta,Probabilidad,Regla,Riesgo,Analisis,Resultado_Real,Acierto,Cuota
2026-03-20 15:06,NBA,Brooklyn Nets vs New York Knicks,Análisis no disponible,50,0,Medio,"Gemini no disponible. 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",Pendiente,,0
2026-03-20 15:07,Futbol,Atlético Tucumán vs Gimnasia La Plata,Análisis no disponible,50,0,Medio,"Gemini no disponible. 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",Pendiente,,0
2026-03-20 15:18,UFC,Shanelle Dyer vs Ravena Oliveira,Análisis no disponible,50,0,Medio,"Gemini no disponible. 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.",Pendiente,,0
